Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Credit_Card_Debt,Existing_Personal_Loan,Employment_Type
LP001087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y,5833,413.58,0,Salaried
LP001091,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N,7535,2436.78,0,Salaried
LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N,3167,401.37,1,Salaried
LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N,4692,371.95,0,Salaried
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y,5167,2464.65,0,Self-Employed
LP001100,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N,15500,7510.28,1,Salaried
LP001106,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y,4342,1796.63,0,Salaried
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N,3158,590.79,0,Salaried
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y,5126,481.6,0,Salaried
LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y,11376,4071.53,0,Salaried
LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y,5416,1343.54,1,Salaried
LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N,3600,377.7,0,Salaried
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y,3013,822.04,0,Salaried
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y,2400,157.14,0,Salaried
LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y,6277,2882.36,0,Self-Employed
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y,4695,781.49,0,Self-Employed
LP001137,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y,3410,1187.14,0,Salaried
LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y,5649,1074.84,0,Salaried
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y,5821,1653.34,1,Salaried
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N,6085,1801.28,0,Salaried
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y,6275,835.73,0,Unemployed
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y,3572,1737.11,0,Salaried
LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y,3086,1230.73,0,Salaried
LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N,4230,1999.84,0,Salaried
LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N,4616,2089.54,0,Self-Employed
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N,11500,3669.13,0,Salaried
LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y,3875,1801.27,0,Salaried
LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y,3723,334.41,0,Salaried
LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N,5566,769.18,1,Salaried
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y,10330,726.74,0,Salaried
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y,6216,1220.81,0,Salaried
LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y,6296,1416,0,Salaried
LP001206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y,3029,521.31,1,Salaried
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N,6058,2562.12,0,Salaried
LP001213,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N,4945,1041.12,0,Salaried
LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N,4166,734.97,1,Salaried
LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N,10321,3036.57,1,Salaried
LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N,5454,618.57,1,Self-Employed
LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y,10750,4418.13,0,Salaried
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y,7100,593.19,0,Salaried
LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N,4300,2124.63,0,Salaried
LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y,6274,2493.98,1,Salaried
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y,3750,522.83,0,Self-Employed
LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y,3500,183.7,0,Salaried
LP001250,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N,4755,1982.63,0,Unemployed
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y,7040,2591.32,1,Salaried
LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N,3750,1417.7,0,Salaried
LP001256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N,8500,3375.11,0,Self-Employed
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N,4022,335.11,0,Self-Employed
LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N,7167,1514.46,0,Self-Employed
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y,5499,561.67,0,Self-Employed
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y,3846,1686.07,0,Salaried
LP001266,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y,2395,791.51,0,Self-Employed
LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N,3259,648.23,0,Salaried
LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N,8250,648.46,0,Self-Employed
LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y,3988,757.49,0,Salaried
LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y,4897,961.44,0,Self-Employed
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y,5333,2017.6,0,Salaried
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y,4618,1555.81,0,Salaried
LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y,8566,3848.24,0,Salaried
LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y,9862,2588.74,0,Self-Employed
LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y,5858,608.16,0,Salaried
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y,11904,4415.91,1,Salaried
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y,5093,1998.26,0,Salaried
LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y,4133,1250.54,1,Salaried
LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y,3620,1436.91,0,Self-Employed
LP001326,Male,No,0,Graduate,,6782,0,,360,,Urban,N,6782,1846.11,0,Salaried
LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y,4786,1365.11,1,Unemployed
LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y,2974,720.88,0,Salaried
LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y,4188,257.3,0,Salaried
LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y,5300,522.32,0,Self-Employed
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y,7551,484.34,0,Salaried
LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y,8649,2909.39,1,Salaried
LP001350,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y,13650,2613.43,1,Salaried
LP001356,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y,8235,2296.39,1,Self-Employed
LP001357,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y,4570,2094.91,0,Salaried
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y,4082,662.02,1,Unemployed
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y,12543,2943.49,1,Unemployed
LP001370,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N,7333,2859.86,0,Salaried
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N,7400,1131.9,0,Salaried
LP001384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y,2825,239.11,1,Salaried
LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y,5316,958.94,0,Salaried
LP001387,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y,5262,644.86,1,Salaried
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N,7686,3599.85,0,Salaried
LP001392,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y,7451,3082.14,1,Salaried
LP001398,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y,5050,1691.91,0,Self-Employed
LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y,14583,6447.98,0,Self-Employed
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y,5450,2243.51,0,Self-Employed
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y,3612,483.85,1,Salaried
LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N,7710,3482.23,0,Salaried
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y,10408,3046.46,0,Salaried
LP001426,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y,8334,3444.84,0,Unemployed
LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y,4166,1888.2,1,Salaried
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y,11117,2146.71,0,Self-Employed
LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y,2957,294.29,1,Salaried
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y,6314,963.33,0,Salaried
LP001443,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y,3692,894.2,0,Self-Employed
LP001448,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y,23803,9952.19,0,Salaried
LP001449,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y,5505,2407.49,0,Self-Employed
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N,14363,763.08,1,Unemployed
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N,8649,2420.3,0,Salaried
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y,20166,4796.18,0,Salaried
LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y,3943,591.25,1,Salaried
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y,2718,282.51,0,Unemployed
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y,3459,698.46,0,Salaried
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y,4895,2321.74,1,Salaried
LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N,11750,2296.44,0,Salaried
LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N,4583,1299.08,0,Self-Employed
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y,6816,2497.1,1,Salaried
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N,14999,3204.29,0,Self-Employed
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N,5630,2743.51,0,Unemployed
LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N,7125,3442.1,0,Salaried
LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y,5417,884.61,1,Salaried
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y,6950,1902.64,0,Unemployed
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y,4732,877.29,0,Salaried
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y,11757,2094.84,1,Self-Employed
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y,6816,453.94,1,Salaried
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y,14866,4821.1,0,Salaried
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y,2963,818.4,0,Self-Employed
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N,11666,853.55,0,Salaried
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y,5690,997.97,1,Salaried
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N,6277,2879.38,0,Salaried
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y,6327,998.42,0,Salaried
LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N,9166,1055.95,1,Salaried
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N,2281,616.45,1,Salaried
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y,3254,1605.99,0,Unemployed
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y,39999,6356.84,1,Salaried
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y,6000,2114.77,0,Salaried
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y,9538,3745.85,1,Salaried
LP001546,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y,5063,794.57,0,Self-Employed
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y,10208,3855.53,0,Salaried
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y,2904,625.82,1,Unemployed
LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N,7933,2653.89,0,Salaried
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N,4369,1464,0,Salaried
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y,5614,1634.23,1,Salaried
LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y,9323,844.95,1,Salaried
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y,6873,2927.12,0,Salaried
LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N,4583,890.71,0,Salaried
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y,5772,773.06,0,Self-Employed
LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N,2237,152.9,0,Salaried
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y,8000,2527.21,0,Salaried
LP001581,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y,3589,1273.75,0,Salaried
LP001585,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y,51763,2974.54,1,Self-Employed
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N,3522,987.72,0,Salaried
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y,11333,1721.74,0,Salaried
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N,5080,1728.86,0,Salaried
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y,5461,701.55,1,Self-Employed
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y,3664,1322.42,0,Salaried
LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N,16816,3767.3,0,Salaried
LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y,3750,1768.23,0,Self-Employed
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N,3784,423.37,0,Self-Employed
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N,13650,2777.5,0,Salaried
LP001634,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N,6979,705.32,1,Self-Employed
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y,4600,2144.12,1,Salaried
LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N,33846,15054.79,0,Salaried
LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y,3625,602.02,0,Salaried
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y,43897,15231.94,1,Salaried
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N,2178,909.86,1,Salaried
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y,4521,1355.58,0,Unemployed
LP001644,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y,5970,1721.41,0,Salaried
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y,9328,1481.6,0,Salaried
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y,4885,448.91,0,Salaried
LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N,12000,5444.97,1,Unemployed
LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N,6033,2746.15,1,Salaried
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y,3858,1292.03,1,Salaried
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y,4191,848.94,0,Salaried
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N,5708,1182.38,0,Salaried
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y,12083,4551.43,1,Unemployed
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y,4272,1938.2,1,Unemployed
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y,6232,2799.35,0,Salaried
LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N,11000,4410.38,1,Unemployed
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y,5100,1728.46,1,Salaried
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y,4923,432.55,0,Self-Employed
LP001682,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N,3992,489.95,0,Salaried
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y,4583,2082.28,0,Salaried
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y,3917,1264.77,0,Salaried
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y,4408,238.64,0,Salaried
LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y,3244,310.33,1,Salaried
LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y,6506,2267.83,0,Salaried
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y,2479,129.6,0,Salaried
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N,3418,418.24,0,Self-Employed
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N,10000,2969.3,0,Salaried
LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N,4680,1691.13,1,Salaried
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y,7787,2673.92,0,Unemployed
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y,5703,860.7,0,Salaried
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y,6194,2294.76,1,Salaried
LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y,4833,757.63,0,Salaried
LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N,1950,383.04,0,Self-Employed
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y,5502,2123.34,0,Salaried
LP001732,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N,5000,1711.67,0,Salaried
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y,6666,2880.72,0,Self-Employed
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N,2221,768.3,0,Unemployed
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y,5726,1750.66,0,Salaried
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y,5762,530.99,1,Salaried
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y,8588,1850.47,0,Salaried
LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y,6250,1058.38,0,Self-Employed
LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N,3250,519.33,0,Salaried
LP001754,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N,4735,2309.99,0,Salaried
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y,7945,1802.67,0,Unemployed
LP001760,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y,4758,2147.86,0,Salaried
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y,6400,2137.68,1,Salaried
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y,4545,1852.84,0,Salaried
LP001768,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y,3716,1026.31,0,Salaried
LP001770,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y,5787,1791.69,0,Salaried
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y,8333,2263.52,1,Salaried
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y,4934,680.2,0,Salaried
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y,6760,2535.7,0,Salaried
LP001786,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N,5746,1013.29,0,Unemployed
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y,3463,211.04,1,Salaried
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y,3812,1297.84,0,Unemployed
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y,3315,429.95,1,Salaried
LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y,10819,5119.62,0,Self-Employed
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N,4493,2153.35,0,Self-Employed
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y,8666,4001,0,Salaried
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y,7550,1635.11,0,Self-Employed
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y,7823,445.56,0,Self-Employed
LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N,10383,4856.58,0,Salaried
LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y,9703,2354.75,1,Salaried
LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y,6608,3204.84,0,Salaried
LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y,4725,2285.15,0,Self-Employed
LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y,3677,1595.28,0,Self-Employed
